source,target,regex,code
/audible-free-trial/,https://sonoke.com/posts/audible-free-trial,0,301
/audible-haruki-murakami-review/,https://sonoke.com/posts/audible-haruki-murakami-review,0,301
/audible-offline/,https://sonoke.com/posts/audible-offline,0,301
/bitbank-register/,https://sonoke.com/posts/bitbank-register,0,301
/bitcoin-beginner/,https://sonoke.com/posts/bitcoin-beginner,0,301
/bitcoin-blockchain-structure/,https://sonoke.com/posts/bitcoin-blockchain-structure,0,301
/bitcoin-gatiho/,https://sonoke.com/posts/bitcoin-gatiho,0,301
/bitcoin-hold/,https://sonoke.com/posts/bitcoin-hold,0,301
/bitflyer-register/,https://sonoke.com/posts/bitflyer-register,0,301
/bittrade-crypto-buy-transfer/,https://sonoke.com/posts/bittrade-crypto-buy-transfer,0,301
/bittrade-how-to-deposit/,https://sonoke.com/posts/bittrade-how-to-deposit,0,301
/bittrade-how-to-open-account/,https://sonoke.com/posts/bittrade-how-to-open-account,0,301
/btc-crypto-hold/,https://sonoke.com/posts/btc-crypto-hold,0,301
/bybit-account-hoe-to-register/,https://sonoke.com/posts/bybit-account-hoe-to-register,0,301
/bybit-how-to-buy-bnb/,https://sonoke.com/posts/bybit-how-to-buy-bnb,0,301
/bybit-metamask-bnb/,https://sonoke.com/posts/bybit-metamask-bnb,0,301
/coincheck-land/,https://sonoke.com/posts/coincheck-land,0,301
/coincheck-register/,https://sonoke.com/posts/coincheck-register,0,301
/coincheck-transfer-bybit/,https://sonoke.com/posts/coincheck-transfer-bybit,0,301
/crypto-assets-investment-withdrawal-of-capital/,https://sonoke.com/posts/crypto-assets-investment-withdrawal-of-capital,0,301
/crypto-cashout/,https://sonoke.com/posts/crypto-cashout,0,301
/crypto-currency-resident-tax-200000yen/,https://sonoke.com/posts/crypto-currency-resident-tax-200000yen,0,301
/crypto-how-to-tax-return/,https://sonoke.com/posts/crypto-how-to-tax-return,0,301
/crypto-next-trend/,https://sonoke.com/posts/crypto-next-trend,0,301
/cryptocurrency-learn/,https://sonoke.com/posts/cryptocurrency-learn,0,301
/cryptocurrency-profit-and-loss-toshimatagi/,https://sonoke.com/posts/cryptocurrency-profit-and-loss-toshimatagi,0,301
/cryptocurrency-recommended-ranking/,https://sonoke.com/posts/cryptocurrency-recommended-ranking,0,301
/cryptocurrency-risk-factor/,https://sonoke.com/posts/cryptocurrency-risk-factor,0,301
/cryptocurrency-tax-rate/,https://sonoke.com/posts/cryptocurrency-tax-rate,0,301
/cryptocurrency-tax-unpaid/,https://sonoke.com/posts/cryptocurrency-tax-unpaid,0,301
/dmmbitcoin-register/,https://sonoke.com/posts/dmmbitcoin-register,0,301
/ethereum-transfer-dmmbitcoin-to-metamask/,https://sonoke.com/posts/ethereum-transfer-dmmbitcoin-to-metamask,0,301
/ethereum-transfer-from-bitbank-to-metamask/,https://sonoke.com/posts/ethereum-transfer-from-bitbank-to-metamask,0,301
/ethereum-transfer-from-bitflyer-to-metamask/,https://sonoke.com/posts/ethereum-transfer-from-bitflyer-to-metamask,0,301
/ethereum-transfer-from-gmocoin-to-metamask/,https://sonoke.com/posts/ethereum-transfer-from-gmocoin-to-metamask,0,301
/gmocoin-register/,https://sonoke.com/posts/gmocoin-register,0,301
/how-to-buy-cryptocurrency-on-bitban/,https://sonoke.com/posts/how-to-buy-cryptocurrency-on-bitban,0,301
/how-to-buy-eth-on-bitflyer/,https://sonoke.com/posts/how-to-buy-eth-on-bitflyer,0,301
/how-to-buy-eth-on-coincheck/,https://sonoke.com/posts/how-to-buy-eth-on-coincheck,0,301
/how-to-buy-eth-on-dmmbitcoin/,https://sonoke.com/posts/how-to-buy-eth-on-dmmbitcoin,0,301
/how-to-buy-eth-on-gmocoin/,https://sonoke.com/posts/how-to-buy-eth-on-gmocoin,0,301
/how-to-earn-1000yen-a-day-with-pc-and-phone/,https://sonoke.com/posts/how-to-earn-1000yen-a-day-with-pc-and-phone,0,301
/how-to-purchase-nft-on-polygon-mainnet-in-opensea/,https://sonoke.com/posts/how-to-purchase-nft-on-polygon-mainnet-in-opensea,0,301
/how-to-start-crypto-blog/,https://sonoke.com/posts/how-to-start-crypto-blog,0,301
/how-to-start-cryptocurrency-investment/,https://sonoke.com/posts/how-to-start-cryptocurrency-investment,0,301
/howtobuy-cryptocurrency-plt/,https://sonoke.com/posts/howtobuy-cryptocurrency-plt,0,301
/https-sonoke-com-nft-cryptoninjyapartners-first-purchase/,https://sonoke.com/posts/https-sonoke-com-nft-cryptoninjyapartners-first-purchase,0,301
/magicavoxel-download-howto/,https://sonoke.com/posts/magicavoxel-download-howto,0,301
/magicavoxel-howto-beginner/,https://sonoke.com/posts/magicavoxel-howto-beginner,0,301
/metamask-bsc/,https://sonoke.com/posts/metamask-bsc,0,301
/metamask-install-chrome/,https://sonoke.com/posts/metamask-install-chrome,0,301
/nft-cryptoninjyapartners-first-purchase-recommend-biog10/,https://sonoke.com/posts/nft-cryptoninjyapartners-first-purchase-recommend-biog10,0,301
/nft-cryptoninjyapartners-reason/,https://sonoke.com/posts/nft-cryptoninjyapartners-reason,0,301
/nft-metabatchi-white-list/,https://sonoke.com/posts/nft-metabatchi-white-list,0,301
/nft-recommend-books/,https://sonoke.com/posts/nft-recommend-books,0,301
/oincheck-spread-wide/,https://sonoke.com/posts/oincheck-spread-wide,0,301
/opensea-account-create/,https://sonoke.com/posts/opensea-account-create,0,301
/opensea-how-to-purchase-nft/,https://sonoke.com/posts/opensea-how-to-purchase-nft,0,301
/pancakeswap-how-to-pharming/,https://sonoke.com/posts/pancakeswap-how-to-pharming,0,301
/pancakeswap-how-to-staking/,https://sonoke.com/posts/pancakeswap-how-to-staking,0,301
/pancakeswap-how-to-start/,https://sonoke.com/posts/pancakeswap-how-to-start,0,301
/pancakeswap-how-to-swap/,https://sonoke.com/posts/pancakeswap-how-to-swap,0,301
/recommend-beginner-books/,https://sonoke.com/posts/recommend-beginner-books,0,301
/underhand-money-earn/,https://sonoke.com/posts/underhand-money-earn,0,301
/voicy_recommended/,https://sonoke.com/posts/voicy_recommended,0,301
/what-is-bookrecommend-review/,https://sonoke.com/posts/what-is-bookrecommend-review,0,301
/what-is-crypto-currency/,https://sonoke.com/posts/what-is-crypto-currency,0,301
/what-is-nft-whitelist-aopandaparty/,https://sonoke.com/posts/what-is-nft-whitelist-aopandaparty,0,301
